judge,condition,n_problems,acc_default,acc_ignore_docs,delta,ci_lo,ci_hi
claude,baseline,161,0.7763975155279503,0.7701863354037267,-0.006211180124223602,-0.031055900621118012,0.018633540372670808
deepseek,baseline,161,0.5838509316770186,0.5341614906832298,-0.049689440993788817,-0.08695652173913042,-0.018633540372670808
gpt,baseline,161,0.7391304347826086,0.7287784679089028,-0.010351966873706004,-0.041407867494824016,0.020703933747412008
llama,baseline,161,0.8633540372670807,0.8695652173913043,0.006211180124223602,-0.006211180124223602,0.020703933747412008
qwen,baseline,161,0.8550724637681161,0.8405797101449274,-0.014492753623188404,-0.037267080745341616,0.004140786749482402
claude,misleading_doc,161,0.36645962732919257,0.4720496894409938,0.10559006211180125,0.055900621118012424,0.15527950310559005
deepseek,misleading_doc,161,0.0,0.020703933747412008,0.020703933747412008,0.004140786749482401,0.04347826086956521
gpt,misleading_doc,161,0.33126293995859213,0.5196687370600415,0.18840579710144928,0.13457556935817805,0.24430641821946167
llama,misleading_doc,161,0.07660455486542442,0.2256728778467909,0.14906832298136646,0.1034679089026915,0.19875776397515527
qwen,misleading_doc,161,0.031055900621118012,0.03519668737060041,0.004140786749482401,-0.014492753623188406,0.022774327122153208
claude,mut_compare,117,0.9743589743589743,0.9743589743589743,0.0,0.0,0.0
deepseek,mut_compare,117,0.9829059829059829,0.9800569800569799,-0.002849002849002849,-0.008547008547008548,0.0
gpt,mut_compare,117,0.9943019943019943,0.9943019943019944,0.0,-0.008547008547008548,0.008547008547008548
llama,mut_compare,117,0.8005698005698006,0.8062678062678064,0.005698005698005698,-0.025641025641025644,0.03703703703703704
qwen,mut_compare,117,0.9031339031339031,0.9116809116809117,0.008547008547008548,-0.008547008547008548,0.02849002849002849
