judge,cell,n,p_said_correct,accuracy,mean_quality,mean_confidence
qwen,A correct + truthful doc,483,0.855072463768116,0.855072463768116,3.8426501035196687,81.1304347826087
qwen,B correct + misleading doc,482,0.03112033195020747,0.03112033195020747,2.159751037344398,82.75311203319502
qwen,C buggy + truthful doc,1065,0.05258215962441314,0.9474178403755869,1.5690140845070422,78.88262910798122
qwen,D buggy + doc matching bug,453,0.06181015452538632,0.9381898454746137,1.6181015452538632,79.50551876379691
deepseek,A correct + truthful doc,483,0.5838509316770186,0.5838509316770186,3.989648033126294,96.66666666666667
deepseek,B correct + misleading doc,483,0.0,0.0,2.072463768115942,97.78467908902691
deepseek,C buggy + truthful doc,1065,0.008450704225352112,0.9915492957746479,1.820657276995305,95.10328638497653
deepseek,D buggy + doc matching bug,453,0.006622516556291391,0.9933774834437086,1.6556291390728477,97.74834437086092
llama,A correct + truthful doc,483,0.8633540372670807,0.8633540372670807,1.196687370600414,10.221532091097309
llama,B correct + misleading doc,483,0.07660455486542443,0.07660455486542443,0.36853002070393376,7.107660455486543
llama,C buggy + truthful doc,1065,0.18215962441314554,0.8178403755868544,0.323943661971831,4.2018779342723
llama,D buggy + doc matching bug,453,0.08167770419426049,0.9183222958057395,0.27593818984547464,4.874172185430464
claude,A correct + truthful doc,483,0.7763975155279503,0.7763975155279503,4.124223602484472,93.74534161490683
claude,B correct + misleading doc,483,0.36645962732919257,0.36645962732919257,2.900621118012422,94.88198757763975
claude,C buggy + truthful doc,1065,0.07323943661971831,0.9267605633802817,1.9014084507042253,93.87323943661971
claude,D buggy + doc matching bug,453,0.026490066225165563,0.9735099337748344,1.6887417218543046,95.05298013245033
gpt,A correct + truthful doc,483,0.7391304347826086,0.7391304347826086,4.407867494824017,95.61697722567288
gpt,B correct + misleading doc,483,0.33126293995859213,0.33126293995859213,3.2650103519668736,97.14285714285714
gpt,C buggy + truthful doc,1065,0.020657276995305163,0.9793427230046948,1.9164319248826291,96.93802816901409
gpt,D buggy + doc matching bug,453,0.002207505518763797,0.9977924944812362,1.620309050772627,98.3355408388521
