judge,condition,family,mean,std,count
claude,consistent_bug_doc,doc,-2.3973509933774833,1.3370588129606247,151
claude,extract_constants,surface,-0.7605633802816901,1.0714183445340553,142
claude,misleading_doc,doc,-1.2236024844720497,1.2892592605809696,161
claude,mut_compare,semantic,-2.247863247863248,1.3448880411419388,117
claude,mut_offbyone,semantic,-1.8527131782945736,1.3755724671579832,129
claude,mut_swap,semantic,-2.4403669724770642,1.3569518718815292,109
claude,reformat,surface,-0.006211180124223602,0.45410481182676715,161
claude,rename,surface,-0.20496894409937888,0.81484670661389,161
claude,strip_docstring,surface,-0.055900621118012424,0.83851391763173,161
deepseek,consistent_bug_doc,doc,-2.282560706401766,1.4009247445200916,151
deepseek,extract_constants,surface,-0.5492957746478874,1.194416471011328,142
deepseek,misleading_doc,doc,-1.917184265010352,1.330742825090048,161
deepseek,mut_compare,semantic,-1.8803418803418803,1.2935601904826135,117
deepseek,mut_offbyone,semantic,-2.0258397932816536,1.326553336803044,129
deepseek,mut_swap,semantic,-2.318042813455657,1.3328589596729612,109
deepseek,reformat,surface,-0.037267080745341616,0.36370735492646455,161
deepseek,rename,surface,-0.19461697722567284,0.8195179868977015,161
deepseek,strip_docstring,surface,-0.05072463768115943,0.5866108751468725,161
gpt,consistent_bug_doc,doc,-2.76158940397351,1.181573015216146,151
gpt,extract_constants,surface,-0.36619718309859156,0.921941504304918,142
gpt,misleading_doc,doc,-1.1428571428571428,1.2448305806828388,161
gpt,mut_compare,semantic,-2.4643874643874644,1.1889958938324034,117
gpt,mut_offbyone,semantic,-2.2093023255813953,1.1540010165737422,129
gpt,mut_swap,semantic,-2.666666666666667,1.2397729780234108,109
gpt,reformat,surface,0.033126293995859216,0.4536961920102287,161
gpt,rename,surface,-0.08074534161490682,0.6538097726185854,161
gpt,strip_docstring,surface,-0.06625258799171842,0.5525444624849429,161
llama,consistent_bug_doc,doc,-0.9161147902869757,0.9546909859149172,151
llama,extract_constants,surface,-0.5328638497652582,1.0630700735754186,142
llama,misleading_doc,doc,-0.8281573498964804,0.9676041359849367,161
llama,mut_compare,semantic,-0.8148148148148148,1.0911033858221575,117
llama,mut_offbyone,semantic,-0.8087855297157623,0.977858340291611,129
llama,mut_swap,semantic,-0.8776758409785933,0.8803531727453412,109
llama,reformat,surface,0.06832298136645965,1.034889964911971,161
llama,rename,surface,-0.08902691511387163,1.0108836645721542,161
llama,strip_docstring,surface,-0.06625258799171842,0.9943031310199658,161
qwen,consistent_bug_doc,doc,-2.1743929359823397,1.4980651407911043,151
qwen,extract_constants,surface,-1.1126760563380282,1.2924508480219505,142
qwen,misleading_doc,doc,-1.6832298136645962,1.2011575679758213,161
qwen,mut_compare,semantic,-1.98005698005698,1.530213341429391,117
qwen,mut_offbyone,semantic,-2.0258397932816536,1.375386563780428,129
qwen,mut_swap,semantic,-2.44954128440367,1.4518160521774317,109
qwen,reformat,surface,-0.016563146997929608,0.3685580804447862,161
qwen,rename,surface,-0.05175983436853002,0.5251441683152618,161
qwen,strip_docstring,surface,-0.024844720496894405,0.46180923645642535,161
